职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
用户研究经理, 30, 3, 产品, 产品经理, 探探, 北京, 本科, 150, 成长型, 移动互联网 · 文化娱乐
呼叫中心主管/经理, 9, 1, 运营, 客服, 人人行, 石家庄, 学历不限, 500, 成熟型, 移动互联网 · 金融
用户研究经理/主管, 12, 1, 设计, 高端设计职位, 千里马招标网, 北京, 大专, 150, 成长型, 电子商务 · 企业服务
用户研究经理/主管, 11, 1, 设计, 高端设计职位, ickey, 上海, 本科, 150, 成长型, 电子商务
用户研究经理/主管, 18, 1, 设计, 高端设计职位, 人人行, 北京, 本科, 500, 成熟型, 移动互联网 · 金融
技术经理/主管, 22, 不, 技术, 高端技术职位, 逑美科技(上海), 上海, 本科, 500, 成熟型, 移动互联网
绩效考核主管 \ 经理, 13, 3, 职能, 人力资源, 房多多, 上海, 本科, 2000, 成熟型, 移动互联网 · O2O
广告客户主管/经理, 8, 3, 市场与销售, 市场/营销, eDoctor, 上海, 大专, 150, 成长型, 医疗健康 · 广告营销
客户主管/经理, 11, 3, 市场与销售, 市场/营销, 领先贷, 上海, 大专, 150, 初创型, 金融
用户研究主管, 9, 3, 设计, 用户研究, 猪八戒网, 重庆, 本科, 500, 成熟型, 电子商务 · 生活服务
招聘主管/经理, 9, 3, 职能, 人力资源, 天会皓闻, 上海, 大专, 50, 成长型, 移动互联网
用户研究总监, 72, 5, 设计, 高端设计职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
用户研究总监, 23, 5, 设计, 高端设计职位, 买衣爽, 上海, 本科, 50, 成长型, 电子商务 · O2O
内容主管/经理, 12, 5, 运营, 编辑, 点乐, 北京, 大专, 150, 成长型, 移动互联网 · 广告营销
测试主管/经理(西安), 20, 5, 技术, 测试, 数云, 西安, 本科, 150, 成长型, 企业服务 · 数据服务
